epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.379,1.26027,3.52938,1.42733,0.00333,0.95455,0.4168,0.21387,1.03488,3.77545,1.25863,0.00026,0.00026,0.00026
2,212.355,1.15432,2.25508,1.27424,0.00333,0.95455,0.49402,0.2683,1.103,3.79718,1.31275,0.00052218,0.00052218,0.00052218
3,311.244,1.27678,1.99316,1.35309,0.58372,0.27273,0.46037,0.2414,1.1789,3.78243,1.40689,0.00076588,0.00076588,0.00076588
4,410.654,1.25029,2.022,1.3147,0.2924,0.13636,0.15844,0.08172,1.3393,3.88534,1.6687,0.0009911,0.0009911,0.0009911
5,499.606,1.22128,1.83733,1.33547,0.49727,0.27273,0.28723,0.12127,1.49263,3.55367,1.94047,0.00119784,0.00119784,0.00119784
6,1440.14,1.3022,1.87282,1.4367,0.93392,0.13636,0.23036,0.12123,1.6692,3.64318,2.00436,0.0013861,0.0013861,0.0013861
7,1556.16,1.29851,1.77155,1.39073,0.76532,0.40909,0.4193,0.23385,1.6458,3.3511,2.04347,0.00155588,0.00155588,0.00155588
8,1648.04,1.15745,1.58187,1.3127,0.67961,0.68182,0.75514,0.46297,1.20455,2.74992,1.50223,0.001538,0.001538,0.001538
9,1769.13,1.2124,1.49817,1.30532,0.72407,0.71605,0.71139,0.42359,1.26962,2.80828,1.51981,0.001472,0.001472,0.001472
10,1862.86,1.21726,1.47003,1.34317,0.68997,0.68182,0.7384,0.42246,1.44382,2.84309,1.77869,0.001406,0.001406,0.001406
11,1953.25,1.22799,1.44552,1.32301,0.86585,0.63636,0.80812,0.48728,1.32345,3.3315,1.5586,0.00134,0.00134,0.00134
12,2059.36,1.19674,1.34981,1.32066,0.53076,0.77273,0.72052,0.44746,1.38161,2.20328,1.61587,0.001274,0.001274,0.001274
13,2152.98,1.15281,1.2713,1.29154,0.6723,0.93291,0.84283,0.52656,1.17106,1.72143,1.44434,0.001208,0.001208,0.001208
14,2245.3,1.19021,1.27348,1.32945,0.88795,0.72072,0.87349,0.62773,0.92849,1.7879,1.27448,0.001142,0.001142,0.001142
15,2347.62,1.12876,1.13343,1.27116,0.84889,0.76632,0.81199,0.59431,1.07083,1.73779,1.34076,0.001076,0.001076,0.001076
16,2434.69,1.04252,1.06888,1.19159,0.66436,0.81818,0.78802,0.54887,0.93749,2.0651,1.23434,0.00101,0.00101,0.00101
17,2523.13,1.03202,1.10136,1.2158,0.73947,0.95455,0.85991,0.57629,1.12957,1.49379,1.45755,0.000944,0.000944,0.000944
18,2620.84,1.03842,1.07742,1.22183,0.7981,0.89873,0.84448,0.56762,1.05238,1.43447,1.35659,0.000878,0.000878,0.000878
19,2712.94,1.04118,0.99033,1.21879,0.85833,0.72727,0.85408,0.61259,0.98526,1.4941,1.35401,0.000812,0.000812,0.000812
20,2798.9,0.99387,0.97637,1.18979,0.87881,0.72727,0.85181,0.62738,1.04562,1.42834,1.36688,0.000746,0.000746,0.000746
21,2890.77,0.91466,1.03112,1.139,0.86892,0.90415,0.9119,0.65751,0.98517,1.21715,1.37929,0.00068,0.00068,0.00068
22,2980.26,0.9317,0.9991,1.17235,0.89862,0.90909,0.93984,0.71577,0.88951,1.2285,1.24674,0.000614,0.000614,0.000614
23,3080.62,0.86682,0.92589,1.14907,0.86414,0.90909,0.92631,0.67295,0.95605,1.26588,1.29838,0.000548,0.000548,0.000548
24,3186.79,0.87012,0.88621,1.15378,0.87314,0.93899,0.94104,0.68992,0.95662,1.11531,1.25953,0.000482,0.000482,0.000482
25,3279.5,0.84218,0.87013,1.11618,0.90805,0.89812,0.92155,0.6516,0.9765,1.10853,1.32215,0.000416,0.000416,0.000416
26,3432.76,0.80054,0.82684,1.10548,0.86161,0.84945,0.91718,0.69443,0.93999,1.08453,1.26606,0.00035,0.00035,0.00035
27,3547.14,0.81209,0.81149,1.11155,0.90475,0.86351,0.90422,0.69001,0.95298,1.13099,1.27323,0.000284,0.000284,0.000284
28,3644.97,0.76143,0.78604,1.05255,0.83037,0.8905,0.90023,0.67603,0.95628,1.1302,1.27326,0.000218,0.000218,0.000218
29,3750.19,0.72492,0.78015,1.03729,0.84577,0.90909,0.90689,0.68026,0.96693,1.05879,1.32374,0.000152,0.000152,0.000152
30,3851.37,0.72232,0.74953,1.02256,0.86392,1,0.91739,0.70778,0.93881,0.99276,1.30871,8.6e-05,8.6e-05,8.6e-05
